Product discription (HS),World Average,Argentina,Australia,Austria,Belgium,Brazil,China,Cyprus,Czech Republic,Denmark,Estonia,Finland,France,Germany,Greece,Hungary,Iceland,Ireland,Italy,Japan,Korea,Latvia,Lithuania,Luxembourg,Mexico,Netherlands,New Zealand,Norway,Poland,Portugal,Romania,Russian Federation,Singapore,Slovakia,Slovenia,South Africa,Spain,Sweden,Switzerland,Turkey,Ukraine,United Kingdom,United States of America
Sheep,2773.00,1884.00,2823.00,1913.00,2268.00,3250.00,1547.00,3178.00,2402.00,1104.00,1954.00,1931.00,1273.00,1147.00,3053.00,19547.00,1750.00,1070.00,2494.00,1291.00,2027.00,2076.00,1824.00,7022.00,5748.00,2318.00,1600.00,2527.00,2612.00,2767.00,2937.00,2579.00,0.00,2187.00,1517.00,3089.00,2927.00,1625.00,1648.00,2696.00,2067.00,1670.00,3012.00
Sheep boneless,3471.00,2360.00,3533.00,2396.00,2839.00,4067.00,1937.00,3977.00,3007.00,1385.00,2447.00,2418.00,1596.00,1437.00,3821.00,24438.00,2192.00,1341.00,3121.00,1617.00,2538.00,2599.00,2285.00,8782.00,7189.00,2902.00,2004.00,3163.00,3269.00,3463.00,3676.00,3228.00,0.00,2738.00,1901.00,3866.00,3663.00,2035.00,2064.00,3374.00,2588.00,2092.00,3769.00
Beef liver,2599.00,821.00,2261.00,1314.00,1527.00,2855.00,1850.00,6265.00,1765.00,1129.00,1605.00,1147.00,1273.00,1224.00,3459.00,8831.00,1387.00,939.00,1923.00,1859.00,3099.00,1941.00,1745.00,1806.00,2802.00,1061.00,1373.00,1112.00,1356.00,2970.00,2774.00,2925.00,3338.00,1397.00,1351.00,2844.00,2138.00,1257.00,1125.00,3150.00,2194.00,1192.00,2420.00
Pork cured,2079.00,1506.00,2405.00,1066.00,1797.00,2503.00,2119.00,3157.00,2029.00,1807.00,2100.00,2177.00,1784.00,1466.00,2491.00,2435.00,1817.00,958.00,2115.00,1992.00,2144.00,4281.00,1807.00,1730.00,2900.00,1537.00,698.00,1729.00,1936.00,3025.00,1717.00,2654.00,2480.00,2046.00,2096.00,3095.00,2495.00,1675.00,1596.00,2720.00,1664.00,1648.00,1912.00
Beef cured,7933.00,2981.00,7813.00,4272.00,4796.00,10029.00,7045.00,20444.00,5750.00,3941.00,4871.00,3807.00,4142.00,3970.00,11440.00,26561.00,3975.00,3116.00,5919.00,5837.00,8765.00,5329.00,5294.00,5673.00,8884.00,3353.00,4735.00,3686.00,4513.00,9198.00,9825.00,8862.00,9761.00,4488.00,4255.00,8948.00,7003.00,4022.00,3594.00,10913.00,6392.00,3803.00,7303.00
Milk < 1% fat,340.00,191.00,266.00,157.00,228.00,401.00,427.00,489.00,306.00,180.00,283.00,189.00,184.00,177.00,503.00,932.00,162.00,139.00,260.00,323.00,372.00,388.00,327.00,209.00,613.00,176.00,192.00,161.00,294.00,378.00,440.00,461.00,0.00,290.00,245.00,367.00,596.00,191.00,120.00,376.00,397.00,172.00,265.00
Milk 1-6% fat,351.00,198.00,275.00,163.00,236.00,415.00,441.00,505.00,317.00,186.00,293.00,195.00,190.00,183.00,519.00,963.00,167.00,144.00,268.00,334.00,384.00,401.00,338.00,216.00,633.00,182.00,199.00,166.00,304.00,391.00,454.00,476.00,0.00,299.00,253.00,379.00,615.00,198.00,124.00,389.00,410.00,177.00,274.00
Milk > 6% fat,633.00,356.00,496.00,293.00,424.00,746.00,794.00,909.00,570.00,334.00,527.00,351.00,342.00,330.00,935.00,1734.00,301.00,259.00,483.00,601.00,692.00,721.00,608.00,390.00,1139.00,327.00,358.00,299.00,547.00,704.00,818.00,858.00,0.00,539.00,456.00,682.00,1108.00,356.00,223.00,700.00,738.00,319.00,493.00
Milk powder < 1.5% fat,1582.00,889.00,1239.00,732.00,1061.00,1866.00,1986.00,2272.00,1425.00,835.00,1318.00,878.00,854.00,824.00,2338.00,4335.00,752.00,648.00,1207.00,1502.00,1730.00,1802.00,1519.00,974.00,2849.00,817.00,894.00,748.00,1368.00,1759.00,2045.00,2144.00,0.00,1346.00,1140.00,1705.00,2770.00,890.00,557.00,1749.00,1844.00,798.00,1232.00
Milk powder > 1.5% fat,1582.00,889.00,1239.00,732.00,1061.00,1866.00,1986.00,2272.00,1425.00,835.00,1318.00,878.00,854.00,824.00,2338.00,4335.00,752.00,648.00,1207.00,1502.00,1730.00,1802.00,1519.00,974.00,2849.00,817.00,894.00,748.00,1368.00,1759.00,2045.00,2144.00,0.00,1346.00,1140.00,1705.00,2770.00,890.00,557.00,1749.00,1844.00,798.00,1232.00
Yogurt,395.00,222.00,310.00,183.00,265.00,466.00,497.00,568.00,356.00,209.00,329.00,220.00,214.00,206.00,584.00,1084.00,188.00,162.00,302.00,376.00,433.00,451.00,380.00,243.00,712.00,204.00,224.00,187.00,342.00,440.00,511.00,536.00,0.00,337.00,285.00,426.00,692.00,222.00,139.00,437.00,461.00,199.00,308.00
Buttermilk,533.00,300.00,418.00,247.00,358.00,629.00,669.00,766.00,480.00,281.00,444.00,296.00,288.00,278.00,788.00,1461.00,254.00,218.00,407.00,506.00,583.00,607.00,512.00,328.00,960.00,275.00,301.00,252.00,461.00,593.00,689.00,723.00,0.00,454.00,384.00,575.00,933.00,300.00,188.00,590.00,622.00,269.00,415.00
Butter,1851.00,1041.00,1450.00,856.00,1242.00,2183.00,2324.00,2659.00,1668.00,977.00,1543.00,1028.00,1000.00,965.00,2736.00,5073.00,880.00,758.00,1413.00,1758.00,2025.00,2109.00,1778.00,1140.00,3334.00,957.00,1046.00,876.00,1601.00,2059.00,2393.00,2510.00,0.00,1576.00,1334.00,1995.00,3242.00,1042.00,652.00,2048.00,2158.00,934.00,1442.00
Cheese unfermented,1059.00,596.00,830.00,490.00,711.00,1250.00,1330.00,1522.00,954.00,559.00,883.00,588.00,572.00,552.00,1566.00,2903.00,504.00,434.00,809.00,1006.00,1159.00,1207.00,1017.00,652.00,1908.00,547.00,599.00,501.00,916.00,1178.00,1369.00,1436.00,0.00,902.00,763.00,1142.00,1855.00,596.00,373.00,1172.00,1235.00,534.00,825.00
Cheese grated,1687.00,951.00,1323.00,783.00,1133.00,1989.00,2117.00,2421.00,1520.00,893.00,1406.00,939.00,914.00,881.00,2491.00,4614.00,805.00,694.00,1289.00,1602.00,1845.00,1921.00,1620.00,1041.00,3034.00,874.00,956.00,801.00,1459.00,1875.00,2179.00,2285.00,0.00,1437.00,1217.00,1818.00,2950.00,951.00,597.00,1865.00,1966.00,853.00,1315.00
Cheese processed,1687.00,951.00,1323.00,783.00,1133.00,1989.00,2117.00,2421.00,1520.00,893.00,1406.00,939.00,914.00,881.00,2491.00,4614.00,805.00,694.00,1289.00,1602.00,1845.00,1921.00,1620.00,1041.00,3034.00,874.00,956.00,801.00,1459.00,1875.00,2179.00,2285.00,0.00,1437.00,1217.00,1818.00,2950.00,951.00,597.00,1865.00,1966.00,853.00,1315.00
Eggs,1088.00,606.00,594.00,472.00,557.00,975.00,1031.00,1138.00,966.00,545.00,1072.00,545.00,471.00,522.00,1166.00,1020.00,563.00,464.00,447.00,616.00,1122.00,2521.00,1412.00,457.00,1297.00,447.00,402.00,485.00,929.00,1244.00,931.00,1614.00,436.00,1007.00,1080.00,1300.00,1225.00,562.00,434.00,1401.00,1815.00,496.00,522.00
Turkey,1442.00,886.00,1114.00,667.00,804.00,1491.00,1324.00,1582.00,1213.00,670.00,1432.00,564.00,813.00,830.00,1599.00,1321.00,968.00,878.00,881.00,855.00,1500.00,3972.00,1692.00,640.00,1818.00,596.00,492.00,725.00,1298.00,1674.00,1326.00,2163.00,1249.00,1340.00,1400.00,1797.00,1478.00,769.00,508.00,1948.00,2200.00,703.00,739.00
